A00;338420080;GPU;ES;16/11/2015;19:08;16/11/2015;19:10;;;
A01;338227692;SANS;AA;13/11/2015;18:24;13/11/2015;18:28;14/11/2015;11:37;TDX-M9
A06;338219087;GPU;ES;16/11/2015;18:23;16/11/2015;18:24;;;
B07;338223681;GPU;ES;16/11/2015;18:14;16/11/2015;18:16;;;
B07;338227247;SANS;ES;16/11/2015;14:38;16/11/2015;14:40;;;
B08;338215264;GPU;OR;10/11/2015;17:07;14/11/2015;09:23;14/11/2015;10:56;TDX-M2
B11;338215941;GPU;ES;12/11/2015;20:22;16/11/2015;13:47;;;
B14;338235562;SANS;OR;13/11/2015;15:33;13/11/2015;18:11;16/11/2015;09:38;TDX-M2
B21;338225936;GPU;OR;16/11/2015;11:02;16/11/2015;11:06;16/11/2015;12:49;TDX-10
B21;338222267;GPU;ES;16/11/2015;17:00;16/11/2015;17:01;;;
B21;338228370;SANS;ES;16/11/2015;17:35;16/11/2015;17:36;;;
B22;338220897;GPU;ES;16/11/2015;19:01;16/11/2015;19:02;;;
B23;338227564;GPU;ES;16/11/2015;14:58;16/11/2015;14:59;;;
B26;338219743;SANS;OR;11/11/2015;08:49;13/11/2015;09:59;13/11/2015;11:01;TDX-M9
B26;338212242;GPU;ES;12/11/2015;16:25;16/11/2015;13:27;;;
B27;338212763;GPU;ES;16/11/2015;13:56;16/11/2015;13:59;;;
B28;338220218;SANS;OR;12/11/2015;20:49;12/11/2015;20:50;13/11/2015;14:47;TDX-10
B32;338222721;GPU;ES;16/11/2015;17:19;16/11/2015;17:23;;;
D03;338325947;EGC;OR;16/11/2015;09:12;16/11/2015;10:27;16/11/2015;10:30;TDX-M27
D06;338323510;GPU;ES;16/11/2015;12:13;16/11/2015;12:14;;;
D07;338320602;SANS;OR;11/11/2015;08:53;11/11/2015;08:56;11/11/2015;09:11;TDX-M27
D13;338323858;GPU;ES;16/11/2015;12:18;16/11/2015;12:20;;;
D16;338320633;GPU;ES;16/11/2015;16:08;16/11/2015;16:11;;;
D16;338320944;SANS;ES;16/11/2015;11:42;16/11/2015;11:44;;;
D16;338321764;GPU;ES;16/11/2015;16:57;16/11/2015;17:00;;;
D16;338322290;GPU;ES;12/11/2015;17:54;12/11/2015;18:01;;;
Y02;338322434;SANS;OR;04/11/2015;20:07;12/11/2015;15:29;13/11/2015;09:53;TDX-M7
Y02;33832A960;SANS;ES;14/11/2015;10:41;16/11/2015;08:16;;;
Y03;338321548;GPU;OR;15/11/2015;18:40;15/11/2015;18:41;16/11/2015;08:47;TDX-M7
Y06;338324191;GPU;ES;16/11/2015;17:36;16/11/2015;17:39;;;
Y06;338324421;SANS;ES;16/11/2015;11:49;16/11/2015;11:50;;;
Y06;338324532;SANS;ES;13/11/2015;13:29;16/11/2015;10:48;;;
Y06;338327873;GPU;ES;16/11/2015;19:17;16/11/2015;19:19;;;
Y07;338328838;GPU;ES;14/11/2015;09:46;16/11/2015;11:57;;;
