A01;338227692;SANS;OR;13/11/2015;18:24;13/11/2015;18:28;14/11/2015;11:37;TDX-M9
A02;338223032;AP;AA;13/11/2015;15:02;13/11/2015;15:04;14/11/2015;09:12;TDX-M1
A09;338219346;SANS;ES;15/11/2015;19:30;15/11/2015;19:31;;;
B00;338238856;PRO;ES;05/11/2015;08:35;15/11/2015;11:32;;;
B07;338215812;GPU;ES;15/11/2015;10:10;15/11/2015;10:12;;;
B07;338495606;AP;ES;09/11/2015;10:02;14/11/2015;10:22;;;
B08;338227195;SANS;OR;12/11/2015;12:49;12/11/2015;13:40;13/11/2015;08:30;TDX-M9
B08;338215264;GPU;OR;10/11/2015;17:07;14/11/2015;09:23;14/11/2015;10:56;TDX-M2
B11;338221330;SANS;OR;11/11/2015;20:01;13/11/2015;10:00;13/11/2015;11:01;TDX-M9
B14;338235562;SANS;AA;13/11/2015;15:33;13/11/2015;18:11;14/11/2015;09:14;TDX-M2
B14;338426561;SANS;ES;14/11/2015;09:55;14/11/2015;09:57;;;
B18;338221342;GPU;ES;14/11/2015;10:12;14/11/2015;10:13;;;
B23;338214014;GPU;ES;15/11/2015;14:54;15/11/2015;15:03;;;
B23;338219872;GPU;ES;15/11/2015;21:26;15/11/2015;21:28;;;
B26;338219743;SANS;OR;11/11/2015;08:49;13/11/2015;09:59;13/11/2015;11:01;TDX-M9
B27;338222170;GPU;AA;14/11/2015;12:12;14/11/2015;12:16;15/11/2015;10:25;TDX-M8
B28;338220218;SANS;OR;12/11/2015;20:49;12/11/2015;20:50;13/11/2015;14:47;TDX_10
B30;338211586;AFF;OR;13/11/2015;11:29;13/11/2015;11:57;13/11/2015;13:13;TDX_10
B33;338423598;AP;AA;13/11/2015;15:11;13/11/2015;15:12;14/11/2015;09:07;TDX-M8
D03;338328569;AFF;AA;13/11/2015;17:49;13/11/2015;17:53;14/11/2015;09:50;TDX-M3
D06;338325221;AP;AA;16/10/2015;11:20;13/11/2015;12:59;13/11/2015;14:28;TDX-M27
D07;338320602;SANS;OR;11/11/2015;08:53;11/11/2015;08:56;11/11/2015;09:11;TDX-M27
D07;338325412;GPU;ES;15/11/2015;14:42;15/11/2015;15:29;;;
D16;338322290;GPU;ES;12/11/2015;17:54;12/11/2015;18:01;;;
Y02;338322434;SANS;OR;04/11/2015;20:07;12/11/2015;15:29;13/11/2015;09:53;TDX-M7
Y03;338321548;GPU;ES;15/11/2015;18:40;15/11/2015;18:41;;;
Y05;338326558;GPU;ES;15/11/2015;17:52;15/11/2015;17:53;;;
